country,Date,Adj Close,cases
BE,2020-01-06,33,0
BE,2020-01-08,18,0
BE,2020-01-23,28,0
BE,2020-01-25,29,0
BE,2020-02-09,7,0
BE,2020-02-11,13,0
BE,2020-02-24,17,0
BE,2020-02-26,27,0
BE,2020-03-12,29,174
BE,2020-03-14,37,338
BE,2020-03-29,8,845
BE,2020-03-31,30,1739
BE,2020-04-15,25,1561
BE,2020-04-17,34,1675
BE,2020-05-02,17,237
BE,2020-05-04,18,140
BE,2020-05-19,26,317
BE,2020-05-21,23,385
BE,2020-06-05,29,172
BE,2020-06-07,22,69
BE,2020-06-20,32,121
BE,2020-06-22,26,20
BE,2020-07-07,27,112
BE,2020-07-09,24,137
BE,2020-07-24,31,439
BE,2020-07-26,11,229
BE,2020-08-10,21,122
BE,2020-08-12,32,718
BE,2020-08-27,36,526
BE,2020-08-29,35,614
BE,2020-09-13,15,617
BE,2020-09-15,25,1727
BE,2020-09-30,25,2984
BE,2020-10-02,34,3410
BE,2020-10-15,32,12293
BE,2020-10-17,25,13477
BE,2020-11-01,17,6308
BE,2020-11-03,16,13858
BE,2020-11-18,30,4828
BE,2020-11-20,39,3019
BE,2020-12-05,30,2549
BE,2020-12-07,25,592
BE,2020-01-01,9,0
BE,2020-01-12,11,0
BE,2020-01-19,16,0
BE,2020-01-26,18,0
BE,2020-02-06,36,0
BE,2020-02-13,27,0
BE,2020-02-20,26,0
BE,2020-03-02,22,0
BE,2020-03-09,30,64
BE,2020-03-16,29,214
BE,2020-03-27,35,1363
BE,2020-04-03,19,1479
BE,2020-04-10,26,2240
BE,2020-04-21,20,1278
BE,2020-04-28,25,755
BE,2020-05-05,21,670
BE,2020-05-16,24,347
BE,2020-05-23,24,248
BE,2020-05-30,26,165
BE,2020-06-03,27,183
BE,2020-06-10,33,145
BE,2020-06-17,32,99
BE,2020-06-24,28,110
BE,2020-06-28,22,41
BE,2020-07-05,15,64
BE,2020-07-12,12,62
BE,2020-07-19,16,130
BE,2020-07-23,35,553
BE,2020-07-30,32,703
BE,2020-08-06,29,776
BE,2020-08-17,22,132
BE,2020-08-24,20,115
BE,2020-08-31,25,117
BE,2020-09-11,31,1143
BE,2020-09-18,29,1752
BE,2020-09-25,9,1796
BE,2020-10-06,19,5249
BE,2020-10-13,34,9735
BE,2020-10-20,20,15560
BE,2020-10-31,27,15401
BE,2020-11-07,29,6648
BE,2020-11-14,16,5709
BE,2020-11-25,26,2867
BE,2020-12-02,32,2674
BE,2020-12-09,24,2715
BE,2020-01-15,25,0
BE,2020-01-16,30,0
BE,2020-01-30,28,0
BE,2020-02-02,19,0
BE,2020-02-16,19,0
BE,2020-02-17,21,0
BE,2020-03-05,36,53
BE,2020-03-06,27,81
BE,2020-03-20,33,713
BE,2020-03-23,25,486
BE,2020-03-24,18,1328
BE,2020-04-06,27,667
BE,2020-04-07,26,1937
BE,2020-04-24,21,976
BE,2020-04-25,21,811
BE,2020-05-09,27,483
BE,2020-05-12,40,476
BE,2020-05-13,20,395
BE,2020-05-26,23,314
BE,2020-05-27,31,202
BE,2020-06-13,21,89
BE,2020-06-14,12,49
BE,2020-07-01,29,100
BE,2020-07-02,24,135
BE,2020-07-15,30,207
BE,2020-07-16,23,260
BE,2020-08-02,17,309
BE,2020-08-03,23,148
BE,2020-08-20,31,612
BE,2020-08-21,35,581
BE,2020-09-03,31,574
BE,2020-09-04,32,677
BE,2020-09-07,22,155
BE,2020-09-21,34,461
BE,2020-09-22,24,2204
BE,2020-10-09,38,6588
BE,2020-10-10,28,7789
BE,2020-10-24,27,18876
BE,2020-10-27,27,19868
BE,2020-11-10,31,8636
BE,2020-11-11,29,7701
BE,2020-11-28,46,2700
BE,2020-11-29,22,1004
BE,2019-12-31,24,0
BE,2020-01-13,24,0
BE,2020-01-14,21,0
BE,2020-01-17,31,0
BE,2020-01-31,32,0
BE,2020-02-01,35,0
BE,2020-02-18,34,0
BE,2020-02-19,24,0
BE,2020-03-04,43,34
BE,2020-03-07,36,110
BE,2020-03-21,30,662
BE,2020-03-22,18,469
BE,2020-04-08,23,1515
BE,2020-04-09,31,1599
BE,2020-04-23,25,778
BE,2020-04-26,13,388
BE,2020-05-10,6,240
BE,2020-05-11,3,118
BE,2020-05-28,22,182
BE,2020-05-29,21,171
BE,2020-06-12,27,95
BE,2020-06-15,19,22
BE,2020-06-29,26,24
BE,2020-06-30,25,127
BE,2020-07-17,30,226
BE,2020-07-18,28,274
BE,2020-08-01,33,684
BE,2020-08-04,34,794
BE,2020-08-18,23,707
BE,2020-08-19,26,725
BE,2020-09-05,31,728
BE,2020-09-06,15,322
BE,2020-09-20,19,894
BE,2020-09-23,29,2074
BE,2020-10-07,24,5687
BE,2020-10-08,31,6803
BE,2020-10-25,17,11557
BE,2020-10-26,15,4895
BE,2020-11-09,22,1448
BE,2020-11-12,28,2004
BE,2020-11-26,34,2673
BE,2020-11-27,28,2413
BE,2020-01-02,25,0
BE,2020-01-04,29,0
BE,2020-01-27,20,0
BE,2020-01-29,34,0
BE,2020-02-03,29,0
BE,2020-02-05,37,0
BE,2020-02-07,31,0
BE,2020-02-28,29,0
BE,2020-03-01,29,18
BE,2020-03-03,35,19
BE,2020-03-08,30,27
BE,2020-03-10,23,94
BE,2020-04-02,41,1517
BE,2020-04-04,22,1694
BE,2020-04-11,24,2336
BE,2020-04-13,15,524
BE,2020-05-06,25,547
BE,2020-05-08,26,442
BE,2020-05-15,33,305
BE,2020-05-17,11,147
BE,2020-06-09,25,153
BE,2020-06-11,31,119
BE,2020-06-16,24,147
BE,2020-06-18,26,123
BE,2020-07-11,25,127
BE,2020-07-13,21,43
BE,2020-07-20,19,64
BE,2020-07-22,25,145
BE,2020-08-14,35,669
BE,2020-08-16,12,163
BE,2020-08-23,24,203
BE,2020-08-25,16,607
BE,2020-09-17,31,1942
BE,2020-09-19,25,1709
BE,2020-09-24,35,2097
BE,2020-09-26,9,1623
BE,2020-09-28,24,540
BE,2020-10-19,19,4289
BE,2020-10-21,27,19265
BE,2020-10-23,28,17687
BE,2020-10-28,30,22210
BE,2020-10-30,22,15090
BE,2020-11-22,29,1263
BE,2020-11-24,31,3953
BE,2020-12-01,21,3293
BE,2020-12-03,27,2611
BE,2020-01-03,33,0
BE,2020-01-10,30,0
BE,2020-01-21,17,0
BE,2020-01-28,26,0
BE,2020-02-04,25,1
BE,2020-02-15,20,0
BE,2020-02-22,34,0
BE,2020-02-29,27,0
BE,2020-03-11,27,99
BE,2020-03-18,30,422
BE,2020-03-25,29,1195
BE,2020-04-05,14,923
BE,2020-04-12,20,1032
BE,2020-04-19,11,722
BE,2020-04-30,30,522
BE,2020-05-07,19,552
BE,2020-05-14,24,321
BE,2020-05-25,15,75
BE,2020-06-01,15,49
BE,2020-06-08,24,53
BE,2020-06-19,26,108
BE,2020-06-26,27,76
BE,2020-07-03,46,93
BE,2020-07-14,20,224
BE,2020-07-21,20,443
BE,2020-07-28,33,595
BE,2020-08-08,33,771
BE,2020-08-15,24,587
BE,2020-08-22,30,510
BE,2020-09-02,25,565
BE,2020-09-09,36,871
BE,2020-09-16,23,1628
BE,2020-09-27,29,944
BE,2020-10-04,20,1709
BE,2020-10-11,16,4310
BE,2020-10-22,38,17485
BE,2020-10-29,28,17998
BE,2020-11-05,28,9230
BE,2020-11-16,22,1057
BE,2020-11-23,20,589
BE,2020-11-30,23,560
BE,2020-12-11,25,2604
BE,2020-01-09,18,0
BE,2020-01-11,32,0
BE,2020-01-18,38,0
BE,2020-01-20,23,0
BE,2020-02-12,22,0
BE,2020-02-14,26,0
BE,2020-02-21,22,0
BE,2020-02-23,20,0
BE,2020-03-17,25,387
BE,2020-03-19,28,535
BE,2020-03-26,35,1199
BE,2020-03-28,27,1520
BE,2020-04-20,17,444
BE,2020-04-22,28,1270
BE,2020-04-27,17,205
BE,2020-04-29,33,569
BE,2020-05-22,25,70
BE,2020-05-24,19,123
BE,2020-05-31,18,61
BE,2020-06-02,21,59
BE,2020-06-25,30,100
BE,2020-06-27,34,113
BE,2020-07-04,15,94
BE,2020-07-06,25,24
BE,2020-07-29,23,685
BE,2020-07-31,32,635
BE,2020-08-05,28,814
BE,2020-08-07,32,769
BE,2020-08-30,16,195
BE,2020-09-01,26,634
BE,2020-09-08,30,918
BE,2020-09-10,33,1024
BE,2020-10-03,23,3721
BE,2020-10-05,23,1035
BE,2020-10-12,26,2403
BE,2020-10-14,26,12577
BE,2020-11-06,30,7659
BE,2020-11-08,16,3046
BE,2020-11-13,27,6482
BE,2020-11-15,20,2371
BE,2020-11-17,30,5821
BE,2020-12-10,29,2708
BE,2020-01-05,18,0
BE,2020-01-07,28,0
BE,2020-01-22,28,0
BE,2020-01-24,36,0
BE,2020-02-08,30,0
BE,2020-02-10,8,0
BE,2020-02-25,38,0
BE,2020-02-27,27,0
BE,2020-03-13,40,251
BE,2020-03-15,25,179
BE,2020-03-30,31,685
BE,2020-04-01,26,1683
BE,2020-04-14,24,538
BE,2020-04-16,26,1633
BE,2020-04-18,21,1395
BE,2020-05-01,18,586
BE,2020-05-03,11,286
BE,2020-05-18,21,81
BE,2020-05-20,23,292
BE,2020-06-04,26,159
BE,2020-06-06,19,154
BE,2020-06-21,12,50
BE,2020-06-23,28,143
BE,2020-07-08,20,99
BE,2020-07-10,29,124
BE,2020-07-25,33,496
BE,2020-07-27,23,184
BE,2020-08-09,19,304
BE,2020-08-11,32,873
BE,2020-08-13,35,609
BE,2020-08-26,32,527
BE,2020-08-28,34,535
BE,2020-09-12,20,1284
BE,2020-09-14,28,301
BE,2020-09-29,32,2782
BE,2020-10-01,30,3243
BE,2020-10-16,32,11818
BE,2020-10-18,16,7995
BE,2020-11-02,15,2666
BE,2020-11-04,28,12102
BE,2020-11-19,24,3700
BE,2020-11-21,31,3081
BE,2020-12-04,24,2364
BE,2020-12-06,24,1098
BE,2020-12-08,30,3353
BG,2020-03-13,3,16
BG,2020-03-15,2,10
BG,2020-03-30,4,15
BG,2020-04-01,2,40
BG,2020-04-14,6,10
BG,2020-04-16,7,34
BG,2020-04-18,0,46
BG,2020-05-01,2,59
BG,2020-05-03,7,6
BG,2020-05-18,3,24
BG,2020-05-20,2,33
BG,2020-06-04,4,47
BG,2020-06-06,3,83
BG,2020-06-21,3,117
BG,2020-06-23,1,79
BG,2020-07-08,6,188
BG,2020-07-10,1,330
BG,2020-07-25,7,270
BG,2020-07-27,5,115
BG,2020-08-09,1,329
BG,2020-08-11,3,116
BG,2020-08-13,3,171
BG,2020-08-26,2,203
BG,2020-08-28,8,157
BG,2020-09-12,2,201
BG,2020-09-14,3,27
BG,2020-09-29,3,216
BG,2020-10-01,6,286
BG,2020-10-16,1,914
BG,2020-10-18,3,603
BG,2020-11-02,5,1225
BG,2020-11-04,6,4041
BG,2020-11-19,7,3938
BG,2020-11-21,1,3983
BG,2020-12-04,3,3280
BG,2020-12-06,5,2037
BG,2020-12-08,1,2764
BG,2020-03-20,2,13
BG,2020-03-23,1,22
BG,2020-03-24,3,16
BG,2020-04-06,1,28
BG,2020-04-07,6,18
BG,2020-04-24,3,73
BG,2020-04-25,6,91
